pair,x,y,z,offset,residue,data_number,baseline
W1W2,-3848.2211015946036,-10476428.331461582,-7109783.30882444,12488586.516680516,[],4,12661144.659607012
W1W2,105.98056232103254,-16.98285576042112,11.258146682673924,-35.32221201203983,[1.40651947e-08],29,107.92146610563688
W1W2,105.94254189851979,-11.415892810339983,15.751302593868116,-42.43467380081523,[2.72841348e-10],8,107.71373322831397
W1W2,105.98319016591111,-16.98203862171693,11.262639884564166,-35.33378628280416,[2.42466044e-09],16,107.92438691353561
W1W2,105.96155346417325,-16.972978829665667,11.192813783027885,-35.260539864897346,[4.10169961e-10],12,107.89444797242656
W1W2,105.9796589506577,-16.986586772691332,11.258313524219584,-35.323590472365794,[7.40585106e-09],24,107.92118357807941
W1W2,105.97917836515865,-16.99025577796309,11.258137822082354,-35.32459119663264,[2.14119436e-06],27,107.92127086712665
W1W2,105.98124940696155,-16.984828178412453,11.258619216122192,-35.32337100221815,[6.07847699e-08],34,107.92250053054005
W1W2,105.89033491073225,-15.711272818976534,12.310146333195938,-36.16482370048314,[],4,107.75503154769177
E1E2,-54.931477959481576,-36.222310827684694,3.1314288753665096,25.872736854841634,[8.20779311e-08],20,65.87358286378458
E1E2,-54.935655915078904,-36.21772609397672,3.1138889576282036,25.891517557838014,[7.86687953e-10],9,65.87371462638724
E1E2,-54.92785024766716,-36.26686735367456,2.983901398041077,26.026321378847456,[2.19948556e-11],12,65.8882240467324
E1E2,-54.93821804082437,-36.21935151538979,3.112121432865006,25.892161747424012,[3.8894626e-07],68,65.87666146299026
E1E2,-54.936458436650774,-36.22039585336421,3.1161682272176066,25.88757765789817,[2.16897578e-10],20,65.87595954334617
E1E2,-54.93852812683616,-36.21938331069832,3.1102783915807244,25.89413572849513,[1.16483673e-09],10,65.876850500184
E1E2,129.44275613760007,517330.3053549434,352355.563543205,-20959.938155265874,[],4,625927.3957528266
E1E2,-54.93639637205439,-36.221048671791436,3.120350761457093,25.883990306610656,[1.30979173e-09],20,65.87646470558572
E1E2,-54.96025732884339,-92.65410260239884,-35.33787686986598,24.47987042842899,[],4,113.376268047499
E1E2,-54.93590000593045,-36.21763889726472,3.117895431095789,25.886367038378037,[3.03688002e-09],20,65.87405975551756
E1E2,-54.938013069569045,-36.21976207079156,3.1074748772501763,25.89654722326324,[4.58957575e-15],12,65.87649690602584
E1W2,-194.40998997727863,-106.60477404592643,6.407474384995169,24.357653323841717,[2.06434624e-07],20,221.81270878906597
E1W2,-194.41394944240466,-106.60238882601463,6.368093198291739,24.402102282343478,[4.16821143e-09],9,221.81389869029582
E1W2,-194.43018599493865,-106.60189876251933,6.372909631005143,24.390260028841816,[5.34862108e-06],36,221.82803254540624
E1W2,-194.42431723771065,-106.60008726192503,6.374796309982287,24.391686425053678,[1.47860436e-06],68,221.82207231381133
E1W2,-194.4210644694267,-106.60196409823578,6.382673765898019,24.382787686866834,[2.63644986e-10],20,221.8203497955686
E1W2,-194.42267246852097,-106.60235517054537,6.364497176479503,24.402047678466133,[1.17056554e-09],10,221.82142484894982
E1W2,358.7963310526544,257634.51250980454,176552.53210598318,-11403.72667615008,[],4,312324.29838871973
E1W2,-194.42061376927865,-106.60105550311087,6.384185042107859,24.382046954326114,[7.0580199e-09],20,221.81956160684345
E1W2,-194.37890602329736,-371.4247972363295,-173.6651206110112,17.415959097831973,[],4,453.76107504467524
E1W2,-194.4256866541567,-106.60238959681038,6.3798039689811645,24.381613577449713,[3.90058988e-06],24,221.8245229846626
E1W2,-194.4304652391148,-106.5974578136485,6.347453310269785,24.41589108741313,[2.03605739e-09],12,221.82541330730626
E1W2,-194.42399934337587,-106.59121528820788,6.391420272267155,24.375181621853912,[7.05215833e-10],20,221.8180086250592
E1W2,-194.44638423699968,-106.57025196805208,6.259787058805529,24.510406891830158,[1.32160084e-11],12,221.82380368526418
E2W2,-139.47851201779716,-70.38246321824175,3.276045509628588,-1.5150835309997817,[4.18567589e-08],20,156.26477183788768
E2W2,-139.47829352732387,-70.38466273203937,3.2542042406610108,-1.4894152754910692,[3.18388312e-09],9,156.2651111362904
E2W2,-139.48985484920527,-70.38719035610062,3.2420615027534296,-1.4803390353324417,[2.43848035e-13],12,156.2763166153654
E2W2,-139.48609919688624,-70.3807357465353,3.262674877117327,-1.5004753223703275,[4.81136893e-07],68,156.27048627537124
E2W2,-139.48542932472668,-70.37757008836839,3.264477684193878,-1.5033533839605084,[3.10380508e-07],84,156.26850028075756
E2W2,-139.48460603277593,-70.38156824487157,3.266505538680363,-1.5047899710312862,[1.42002852e-10],20,156.26960845654045
E2W2,-139.48414434168427,-70.38297185984797,3.254218784896672,-1.4920880500266875,[4.96701841e-10],10,156.2695721836338
E2W2,229.3535761527338,-259695.79321019413,-175803.03168284328,9556.211491037277,[],4,313605.904859927
E2W2,-139.48421739722417,-70.38000683131938,3.2638342806507197,-1.5019433522844992,[8.04342868e-09],20,156.2685025163555
E2W2,-139.41864886673002,-278.7709630986262,-138.327426787817,-7.063917917199632,[],4,341.00628516275043
E2W2,-139.48809933744545,-70.37357639094307,3.2735248411715077,-1.5111854165242207,[1.51698737e-09],20,156.26927425348438
E2W2,-139.5083711674687,-70.35048989720919,3.1523121813741852,-1.3861403312452651,[1.28631338e-11],12,156.27448328715212
S1E1,125.33242393217192,305.93311798340125,-5.902466002911325,-15.30635086727753,[4.65888155e-07],84,330.663164372258
S1W1,-175.07152538465198,216.31961145226293,-10.798857996962113,7.835922561717695,[2.88256561e-07],84,278.49744816318406
E1W1,-300.40394931682386,-89.61350653113836,-4.896391994050717,23.142273428995132,[9.09008407e-07],84,313.5236641347997
E1W1,-300.40627478838974,-89.61310687796575,-4.888908910200456,23.134699577975255,[3.39753546e-07],109,313.5256612892978
E1W1,-300.40941695282885,-89.5987773010852,-4.901206786312265,23.130289208826866,[1.24405162e-06],88,313.52476858415866
S1E1,125.33465759593943,305.9342795816819,-5.914809630293064,57.826789974447536,[3.16919441e-07],43,330.66530630052
S1E1,125.33331386726519,305.936465518776,-5.9079990053673725,57.8202819908029,[8.67767665e-08],37,330.6666976750442
S1E1,125.3345037178092,305.93472121214023,-5.916551084612138,57.82826211092734,[4.71760279e-08],40,330.66568773018514
S1W1,-175.07336864693207,216.31668708545027,-10.792462019190282,-25.482597994386964,[6.56434116e-07],43,278.4960875083254
S1W1,-175.0734954942224,216.3126554054118,-10.79477593281186,-25.481141841727634,[2.07437122e-08],37,278.4931254098484
S1W1,-175.07320646901192,216.31528852976385,-10.793995089393064,-25.480880656952223,[9.67497053e-08],40,278.4949586707919
E1W1,-300.4080262428714,-89.61759249623167,-4.877652388897186,-83.30938796883453,[2.46521856e-07],43,313.5284462513494
E1W1,-300.4078576279026,-89.61355950259231,-4.8756782340201,-83.31304428296062,[4.26870227e-07],63,313.52710123616515
E1W1,-300.40694528923177,-89.61460681425586,-4.883562955977531,-83.30360679102944,[1.63431612e-07],52,313.52664913787817
E1W1,-300.40680936148755,-89.62381011336447,-4.886776927444664,-83.30142383253043,[1.39699628e-07],37,313.52919965885815
E1W1,-300.40771018682113,-89.61943268237627,-4.877444004780806,-83.30914276787969,[1.676511e-07],40,313.5286661758696
E1W1,-300.3587181712144,-89.54170280092526,-5.210294516765114,-82.98208406553346,[0.00029319],23,313.4648677139045
E1W1,-300.4101408170328,-89.61314487552556,-4.871296541469761,-83.31758874197999,[7.47705958e-08],43,313.529102269927
E1W1,-300.4090014267403,-89.61521027234136,-4.87495701314036,-83.31408225422163,[8.40242197e-07],71,313.52865779103377
E1W1,-300.41066454526856,-89.61154665386267,-4.8705218568097735,-83.32038663203626,[2.49824736e-08],20,313.5291352480419
S1S2,-5.745932209919706,33.582263488778885,0.6322900827680122,-4.882958671362726,[7.27860052e-08],18,34.07614926513163
S1S2,-18.79918007882584,22.656526484033005,2.2901759071169767,-0.3663399161341463,[],2,29.529176582548832
S1S2,0.8514776091233776,1.6275342176581067,3.579442404218253,4.023218819999999,[],1,4.02321882
S1S2,0.24180152692510948,2.0765524614612727,4.394040378618479,4.866017771499999,[],1,4.866017771499998
S1S2,-5.746666546383837,33.580756692457015,0.6304237257306617,-4.881485522116474,[5.69734654e-08],22,34.07475356487979
S1S2,-5.743132697060459,33.58166964689927,0.6408144197524557,-4.892442896440702,[5.77138186e-10],7,34.07525132071785
